r,a,b,c,d,e,f,g,h,i,j
0.8,0.00232815,0.000884382,0.00554572,0.00422391,0.00213093,,,,,
0.84,0.00532513,0.0029263,0.0157496,0.010261,0.00602753,,,,,
0.88,0.0087797,0.00439315,0.0233323,0.0171581,0.00884172,,,,,
0.92,0.0135933,0.00725882,0.0378328,0.0272862,0.0145193,,,,,
0.96,0.0204879,0.0102582,0.0538493,0.0396269,0.0204701,,,,,
1.0,0.0273135,0.0147169,0.0729492,0.053381,0.0291058,,,,,
1.04,0.0361895,0.0202001,0.09606,0.0705625,0.0402684,,,,,
1.08,0.0458175,0.0261431,0.119756,0.08912,0.0520652,,,,,
1.12,0.0561671,0.0325221,0.144046,0.109083,0.0643142,,,,,
1.16,0.0670559,0.039698,0.168015,0.128706,0.0773787,,,,,
1.2,0.0779022,0.0482808,0.193424,0.150343,0.0940851,,,,,
1.24,0.0896658,0.056285,0.216678,0.171769,0.109536,,,,,
1.28,0.10129,0.0651654,0.2406,0.192678,0.126512,,,,,
1.32,0.11273,0.0747504,0.26402,0.213338,0.143342,,,,,
1.36,0.124194,0.0841206,0.286566,0.233958,0.161258,,,,,
1.4,0.136215,0.0941842,0.308567,0.25434,0.17971,,,,,
