r,a,b,c,d,e,f,g,h,i,j
0.8,0.000796441,1.7452e-06,0.0209214,0.295554,0.295954,0.0015709,2.32767e-06,0.309863,0.502928,0.0409521
0.84,0.00162399,3.56729e-06,0.0286006,0.321671,0.322069,0.00311184,6.45397e-06,0.340126,0.538523,0.0558552
0.88,0.00294086,9.69009e-06,0.037631,0.34467,0.346082,0.00570762,1.87414e-05,0.36853,0.56982,0.0732611
0.92,0.00500423,3.56593e-05,0.0476932,0.366506,0.369224,0.00983883,7.4919e-05,0.395928,0.598052,0.0925899
0.96,0.00801024,8.87386e-05,0.0587119,0.386054,0.39033,0.015708,0.000185818,0.421052,0.622212,0.112766
1.0,0.0120482,0.000224009,0.0703692,0.404013,0.410702,0.0236333,0.000446733,0.444983,0.643948,0.134427
1.04,0.017291,0.000476012,0.0826396,0.420288,0.430058,0.0335644,0.00094714,0.467416,0.663444,0.156935
1.08,0.023512,0.00097251,0.0950702,0.435125,0.448249,0.045958,0.00187764,0.48824,0.681726,0.179072
1.12,0.0310575,0.00172075,0.107566,0.449531,0.466042,0.0602235,0.00335768,0.507851,0.69641,0.201406
1.16,0.0396062,0.00284668,0.120386,0.462226,0.482944,0.0764037,0.00567601,0.526183,0.710273,0.223686
1.2,0.0487885,0.00469477,0.132932,0.474498,0.498963,0.0939027,0.00919371,0.54324,0.723086,0.2458
1.24,0.058797,0.00718888,0.145742,0.485143,0.514815,0.112488,0.0141854,0.559143,0.734327,0.268423
1.28,0.0692769,0.0105684,0.158236,0.495523,0.529549,0.131797,0.0206587,0.574357,0.744527,0.289454
1.32,0.0802907,0.0147277,0.170703,0.50481,0.543358,0.151738,0.0287206,0.588467,0.754365,0.30993
1.36,0.0912185,0.0199222,0.183119,0.513578,0.557078,0.171814,0.0384984,0.60161,0.76263,0.330043
1.4,0.102645,0.0258986,0.194994,0.522039,0.570132,0.192017,0.0500568,0.614388,0.771132,0.349518
