r;a;b;c;d;e
0.8;0,00398463;0,0656231;0,0695921;0,00781587;0,127077
0.84;0,00738075;0,0842012;0,0907975;0,0143773;0,161211
0.88;0,0121621;0,103034;0,113342;0,0237047;0,194831
0.92;0,0186726;0,122494;0,13761;0,0368464;0,227695
0.96;0,0269437;0,140371;0,162426;0,0530564;0,258951
1.0;0,0364859;0,15806;0,188012;0,0702043;0,28884
1.04;0,0473971;0,174872;0,212812;0,0910444;0,316963
1.08;0,0588274;0,191189;0,237566;0,112717;0,343868
1.12;0,0709905;0,206344;0,261301;0,135529;0,368669
1.16;0,0839136;0,221322;0,284934;0,158626;0,392184
1.2;0,096655;0,235384;0,308169;0,182223;0,414166
1.24;0,109679;0,248467;0,329558;0,205033;0,434148
1.28;0,122359;0,261939;0,350801;0,227534;0,453435
1.32;0,134831;0,274326;0,37152;0,249017;0,472195
1.36;0,147427;0,286512;0,389866;0,270906;0,48984
1.4;0,159632;0,297762;0,409045;0,291079;0,50583
