r;a;b;c;d;e
0.8;0,00637737;0,0737815;0,018193;0,00965426;0,0724732
0.84;0,0123966;0,0967969;0,0270245;0,0181462;0,0946224
0.88;0,0208447;0,120099;0,0390299;0,0320726;0,117792
0.92;0,0326869;0,142189;0,0539062;0,0497437;0,144143
0.96;0,0451429;0,166193;0,0699138;0,0698583;0,168348
1.0;0,0607799;0,188552;0,0895643;0,0937465;0,194293
1.04;0,0761643;0,210665;0,109836;0,118873;0,219904
1.08;0,0927829;0,231753;0,130074;0,144935;0,245157
1.12;0,108356;0,25024;0,151153;0,170583;0,269409
1.16;0,125293;0,269348;0,172702;0,195863;0,293377
1.2;0,14106;0,286789;0,193842;0,221759;0,316784
1.24;0,157027;0,303449;0,214963;0,246099;0,338031
1.28;0,172149;0,319046;0,236503;0,269399;0,358366
1.32;0,187387;0,334661;0,255703;0,29267;0,37888
1.36;0,201203;0,347486;0,274676;0,314109;0,397836
1.4;0,215487;0,360735;0,294039;0,335065;0,415781
