r,a,b,c,d,e,f,g,h,i,j
0.8,0.11671,0.277144,0.167655,0.151145,0.151373,0.259193,,,,
0.84,0.139765,0.305829,0.201988,0.183466,0.183207,0.293449,,,,
0.88,0.160782,0.332106,0.233534,0.214096,0.213725,0.324897,,,,
0.92,0.181168,0.355896,0.264733,0.243213,0.2433,0.355357,,,,
0.96,0.200812,0.376494,0.294524,0.270847,0.270853,0.382296,,,,
1.0,0.219361,0.395385,0.322602,0.298048,0.298066,0.407303,,,,
1.04,0.236626,0.4131,0.347403,0.322759,0.322295,0.43158,,,,
1.08,0.253487,0.430403,0.371925,0.34691,0.346138,0.454435,,,,
1.12,0.26905,0.446066,0.395351,0.369086,0.369042,0.474557,,,,
1.16,0.2837,0.459785,0.416516,0.390853,0.390712,0.494207,,,,
1.2,0.298682,0.473012,0.437089,0.410391,0.410021,0.513047,,,,
1.24,0.311562,0.485233,0.455792,0.4295,0.429832,0.529934,,,,
1.28,0.324444,0.497228,0.474296,0.447569,0.447832,0.545526,,,,
1.32,0.337103,0.507931,0.491103,0.465415,0.464611,0.560665,,,,
1.36,0.348699,0.518021,0.507289,0.481276,0.481467,0.575424,,,,
1.4,0.359786,0.52741,0.522787,0.495774,0.495839,0.588892,,,,
